Target Distance :100, Step Size : 2
1307: (x,y) = (-14.2945, 24.5975)
1308: (x,y) = (-15.4701, 22.9795)
1309: (x,y) = (-13.475, 22.84)
1310: (x,y) = (-12.6615, 24.667)
1311: (x,y) = (-11.4579, 23.0698)
1312: (x,y) = (-11.5277, 25.0686)
1313: (x,y) = (-9.68666, 24.2871)
1314: (x,y) = (-10.1705, 26.2277)
1315: (x,y) = (-11.2006, 27.942)
1316: (x,y) = (-12.7327, 29.2276)
1317: (x,y) = (-13.7327, 30.9596)
1318: (x,y) = (-14.5461, 29.1326)
1319: (x,y) = (-12.5571, 28.9235)
1320: (x,y) = (-13.3706, 30.7506)
1321: (x,y) = (-13.1268, 32.7357)
1322: (x,y) = (-15.0394, 32.1509)
1323: (x,y) = (-17.0245, 32.3947)
1324: (x,y) = (-15.5859, 33.784)
1325: (x,y) = (-16.6751, 32.1067)
1326: (x,y) = (-16.6053, 30.1079)
1327: (x,y) = (-17.9175, 31.6173)
1328: (x,y) = (-19.9147, 31.722)
1329: (x,y) = (-21.629, 32.752)
1330: (x,y) = (-19.6367, 32.9264)
1331: (x,y) = (-17.6415, 32.7868)
1332: (x,y) = (-15.661, 33.0652)
1333: (x,y) = (-16.3121, 34.9562)
1334: (x,y) = (-14.3803, 34.4386)
1335: (x,y) = (-14.206, 32.4462)
1336: (x,y) = (-13.1461, 30.7501)
1337: (x,y) = (-14.4582, 32.2595)
1338: (x,y) = (-16.0966, 31.1124)
1339: (x,y) = (-14.7844, 32.6218)
1340: (x,y) = (-12.7847, 32.5869)
1341: (x,y) = (-12.4031, 30.6236)
1342: (x,y) = (-10.408, 30.4841)
1343: (x,y) = (-10.4778, 32.4829)
1344: (x,y) = (-11.7899, 33.9923)
1345: (x,y) = (-12.1372, 35.9619)
1346: (x,y) = (-11.9629, 37.9543)
1347: (x,y) = (-13.5602, 39.1579)
1348: (x,y) = (-13.63, 41.1567)
1349: (x,y) = (-11.8807, 40.1871)
1350: (x,y) = (-9.90535, 40.5)
1351: (x,y) = (-11.6874, 39.592)
1352: (x,y) = (-11.1361, 37.6695)
1353: (x,y) = (-10.7203, 39.6258)
1354: (x,y) = (-11.3383, 37.7237)
1355: (x,y) = (-9.60625, 36.7237)
1356: (x,y) = (-8.16757, 35.3343)
1357: (x,y) = (-10.0901, 35.8856)
1358: (x,y) = (-8.30808, 34.9776)
1359: (x,y) = (-9.67207, 36.4403)
1360: (x,y) = (-11.6611, 36.2313)
1361: (x,y) = (-9.79396, 35.5145)
1362: (x,y) = (-11.0795, 37.0466)
1363: (x,y) = (-13.0201, 36.5628)
1364: (x,y) = (-12.9503, 38.5616)
1365: (x,y) = (-13.7956, 40.3742)
1366: (x,y) = (-11.9045, 39.7231)
1367: (x,y) = (-12.1829, 37.7425)
1368: (x,y) = (-13.1525, 39.4918)
1369: (x,y) = (-15.0651, 38.907)
1370: (x,y) = (-17.0624, 38.8023)
1371: (x,y) = (-18.0013, 40.5682)
1372: (x,y) = (-16.0317, 40.2209)
1373: (x,y) = (-18.0314, 40.2558)
1374: (x,y) = (-17.753, 42.2364)
1375: (x,y) = (-15.7679, 41.9926)
1376: (x,y) = (-17.5172, 42.9623)
1377: (x,y) = (-19.4735, 43.3781)
1378: (x,y) = (-20.9362, 44.7421)
1379: (x,y) = (-21.8129, 42.9445)
1380: (x,y) = (-19.8497, 43.3261)
1381: (x,y) = (-21.5077, 44.4445)
1382: (x,y) = (-19.9105, 43.2409)
1383: (x,y) = (-18.9715, 41.475)
1384: (x,y) = (-20.3857, 40.0608)
1385: (x,y) = (-22.024, 38.9136)
1386: (x,y) = (-23.5561, 40.1992)
1387: (x,y) = (-25.5558, 40.1643)
1388: (x,y) = (-26.1739, 38.2622)
1389: (x,y) = (-24.2333, 37.7783)
1390: (x,y) = (-22.844, 36.3396)
1391: (x,y) = (-22.4281, 38.2959)
1392: (x,y) = (-20.7898, 37.1488)
1393: (x,y) = (-19.3512, 35.7595)
1394: (x,y) = (-19.2814, 33.7607)
1395: (x,y) = (-18.7637, 31.8288)
1396: (x,y) = (-18.1457, 33.7309)
1397: (x,y) = (-19.3213, 35.349)
1398: (x,y) = (-18.2912, 37.0633)
1399: (x,y) = (-20.2544, 36.6817)
1400: (x,y) = (-18.6572, 35.4781)
1401: (x,y) = (-19.5651, 33.6961)
1402: (x,y) = (-21.5648, 33.6611)
1403: (x,y) = (-23.5572, 33.4868)
1404: (x,y) = (-22.6183, 35.2527)
1405: (x,y) = (-24.057, 36.642)
1406: (x,y) = (-26.0567, 36.677)
1407: (x,y) = (-27.7147, 35.5586)
1408: (x,y) = (-26.5963, 33.9005)
1409: (x,y) = (-25.1577, 32.5112)
1410: (x,y) = (-23.4256, 31.5112)
1411: (x,y) = (-25.4107, 31.2674)
1412: (x,y) = (-23.6131, 30.3907)
1413: (x,y) = (-22.8317, 28.5497)
1414: (x,y) = (-20.8344, 28.445)
1415: (x,y) = (-22.7254, 27.7939)
1416: (x,y) = (-20.8461, 28.4779)
1417: (x,y) = (-18.8764, 28.8252)
1418: (x,y) = (-19.4945, 26.9231)
1419: (x,y) = (-19.4247, 24.9243)
1420: (x,y) = (-17.4295, 24.7848)
1421: (x,y) = (-17.0479, 26.7481)
1422: (x,y) = (-15.0783, 26.4008)
1423: (x,y) = (-17.027, 25.9509)
1424: (x,y) = (-15.3887, 27.098)
1425: (x,y) = (-16.803, 28.5122)
1426: (x,y) = (-17.7419, 30.2781)
1427: (x,y) = (-18.3266, 32.1907)
1428: (x,y) = (-18.6395, 30.2154)
1429: (x,y) = (-20.6368, 30.32)
1430: (x,y) = (-22.6064, 30.6673)
1431: (x,y) = (-22.8154, 32.6564)
1432: (x,y) = (-21.8154, 34.3884)
1433: (x,y) = (-23.2541, 32.9991)
1434: (x,y) = (-22.8725, 31.0358)
1435: (x,y) = (-23.9618, 32.7132)
1436: (x,y) = (-21.9618, 32.7132)
1437: (x,y) = (-20.1959, 31.7742)
1438: (x,y) = (-21.9451, 30.8046)
1439: (x,y) = (-23.9403, 30.9441)
1440: (x,y) = (-25.8196, 31.6282)
1441: (x,y) = (-27.8193, 31.6631)
1442: (x,y) = (-25.8221, 31.7678)
1443: (x,y) = (-27.2363, 33.182)
1444: (x,y) = (-25.3138, 32.6307)
1445: (x,y) = (-26.5174, 31.0334)
1446: (x,y) = (-28.315, 30.1567)
1447: (x,y) = (-26.3199, 30.2962)
1448: (x,y) = (-27.2278, 28.5142)
1449: (x,y) = (-25.4786, 27.5446)
1450: (x,y) = (-27.1929, 28.5746)
1451: (x,y) = (-27.9097, 30.4418)
1452: (x,y) = (-26.6241, 31.9739)
1453: (x,y) = (-28.1335, 33.286)
1454: (x,y) = (-27.0151, 31.6279)
1455: (x,y) = (-26.8408, 33.6203)
1456: (x,y) = (-28.4989, 34.7387)
1457: (x,y) = (-27.5599, 36.5046)
1458: (x,y) = (-26.7147, 38.3172)
1459: (x,y) = (-26.4018, 36.3418)
1460: (x,y) = (-27.1186, 38.209)
1461: (x,y) = (-27.7033, 40.1216)
1462: (x,y) = (-28.4848, 38.2806)
1463: (x,y) = (-27.0461, 39.6699)
1464: (x,y) = (-25.2969, 38.7003)
1465: (x,y) = (-23.7874, 40.0124)
1466: (x,y) = (-22.2332, 41.2711)
1467: (x,y) = (-20.4839, 40.3014)
1468: (x,y) = (-18.5352, 40.7513)
1469: (x,y) = (-19.2844, 38.897)
1470: (x,y) = (-20.9617, 39.9863)
1471: (x,y) = (-22.9508, 40.1953)
1472: (x,y) = (-21.9812, 38.4461)
1473: (x,y) = (-20.1401, 39.2275)
1474: (x,y) = (-22.1398, 39.1926)
1475: (x,y) = (-21.6899, 37.2439)
1476: (x,y) = (-22.9213, 38.8199)
1477: (x,y) = (-21.1392, 39.7279)
1478: (x,y) = (-23.0064, 40.4446)
1479: (x,y) = (-23.9144, 38.6626)
1480: (x,y) = (-21.9156, 38.5928)
1481: (x,y) = (-20.6843, 37.0168)
1482: (x,y) = (-18.6952, 36.8077)
1483: (x,y) = (-18.3479, 34.8381)
1484: (x,y) = (-16.8159, 33.5525)
1485: (x,y) = (-15.8769, 31.7866)
1486: (x,y) = (-13.8879, 31.9957)
1487: (x,y) = (-12.0335, 31.2465)
1488: (x,y) = (-13.2648, 29.6705)
1489: (x,y) = (-12.1755, 27.9931)
1490: (x,y) = (-12.5914, 26.0368)
1491: (x,y) = (-14.2297, 24.8897)
1492: (x,y) = (-12.9441, 26.4218)
1493: (x,y) = (-14.5824, 27.5689)
1494: (x,y) = (-14.964, 25.6057)
1495: (x,y) = (-13.1097, 26.3549)
1496: (x,y) = (-15.0987, 26.1458)
1497: (x,y) = (-14.1598, 24.3799)
1498: (x,y) = (-15.574, 22.9657)
1499: (x,y) = (-14.9559, 24.8678)
1500: (x,y) = (-13.8961, 26.5639)
1501: (x,y) = (-11.9474, 27.0138)
1502: (x,y) = (-12.7608, 25.1867)
1503: (x,y) = (-10.7636, 25.0821)
1504: (x,y) = (-10.8334, 23.0833)
1505: (x,y) = (-10.0519, 24.9243)
1506: (x,y) = (-11.8178, 25.8632)
1507: (x,y) = (-10.1998, 27.0388)
1508: (x,y) = (-8.54169, 25.9204)
1509: (x,y) = (-7.20343, 24.4341)
1510: (x,y) = (-6.89056, 22.4588)
1511: (x,y) = (-8.80317, 21.874)
1512: (x,y) = (-9.15047, 19.9044)
1513: (x,y) = (-9.0458, 17.9071)
1514: (x,y) = (-9.95378, 19.6891)
1515: (x,y) = (-10.0236, 21.6879)
1516: (x,y) = (-9.77984, 23.673)
1517: (x,y) = (-7.78745, 23.4987)
1518: (x,y) = (-7.13631, 25.3897)
1519: (x,y) = (-9.1214, 25.146)
1520: (x,y) = (-8.18246, 23.3801)
1521: (x,y) = (-6.46813, 22.35)
1522: (x,y) = (-6.32861, 20.3549)
1523: (x,y) = (-7.83803, 19.0428)
1524: (x,y) = (-5.89744, 18.5589)
1525: (x,y) = (-7.88648, 18.768)
1526: (x,y) = (-8.79447, 16.986)
1527: (x,y) = (-7.38025, 18.4002)
1528: (x,y) = (-5.45773, 17.8489)
1529: (x,y) = (-6.07576, 19.751)
1530: (x,y) = (-6.98374, 21.5331)
1531: (x,y) = (-5.52104, 22.8971)
1532: (x,y) = (-3.53594, 22.6533)
1533: (x,y) = (-4.6831, 21.015)
1534: (x,y) = (-3.15101, 22.3006)
1535: (x,y) = (-3.46388, 20.3252)
1536: (x,y) = (-5.45292, 20.5343)
1537: (x,y) = (-4.60768, 22.3469)
1538: (x,y) = (-3.6997, 20.5649)
1539: (x,y) = (-5.23179, 21.8504)
1540: (x,y) = (-3.31918, 22.4352)
1541: (x,y) = (-3.24938, 24.434)
1542: (x,y) = (-4.99862, 23.4643)
1543: (x,y) = (-6.71296, 24.4944)
1544: (x,y) = (-7.91659, 22.8972)
1545: (x,y) = (-9.80763, 22.246)
1546: (x,y) = (-10.6211, 24.0731)
1547: (x,y) = (-9.18242, 22.6838)
1548: (x,y) = (-11.123, 22.1999)
1549: (x,y) = (-13.1154, 22.0256)
1550: (x,y) = (-11.1835, 22.5433)
1551: (x,y) = (-9.19116, 22.7176)
1552: (x,y) = (-7.39357, 23.5943)
1553: (x,y) = (-6.70953, 21.7149)
1554: (x,y) = (-8.09885, 20.2763)
1555: (x,y) = (-6.14255, 20.6921)
1556: (x,y) = (-4.31546, 19.8786)
1557: (x,y) = (-4.9666, 21.7697)
1558: (x,y) = (-4.31546, 19.8786)
1559: (x,y) = (-6.27176, 19.4628)
1560: (x,y) = (-6.23685, 21.4625)
1561: (x,y) = (-4.84753, 22.9012)
1562: (x,y) = (-5.99469, 21.2629)
1563: (x,y) = (-4.58047, 19.8486)
1564: (x,y) = (-6.36249, 20.7566)
1565: (x,y) = (-8.05858, 21.8165)
1566: (x,y) = (-9.67662, 20.6409)
1567: (x,y) = (-7.99928, 19.5516)
1568: (x,y) = (-9.67662, 18.4623)
1569: (x,y) = (-7.87903, 19.3391)
1570: (x,y) = (-5.99964, 18.655)
1571: (x,y) = (-6.41547, 20.6113)
1572: (x,y) = (-4.47488, 20.1275)
1573: (x,y) = (-6.45025, 19.8146)
1574: (x,y) = (-7.53953, 21.492)
1575: (x,y) = (-9.07162, 20.2064)
1576: (x,y) = (-7.30572, 21.1453)
1577: (x,y) = (-8.395, 19.468)
1578: (x,y) = (-10.3901, 19.6075)
1579: (x,y) = (-10.5644, 21.5999)
1580: (x,y) = (-9.6255, 23.3658)
1581: (x,y) = (-8.74876, 25.1634)
1582: (x,y) = (-9.09605, 27.133)
1583: (x,y) = (-7.56396, 25.8474)
1584: (x,y) = (-8.95328, 24.4087)
1585: (x,y) = (-10.8554, 23.7907)
1586: (x,y) = (-12.668, 22.9455)
1587: (x,y) = (-12.1167, 24.868)
1588: (x,y) = (-14.1164, 24.9029)
1589: (x,y) = (-15.5057, 26.3416)
1590: (x,y) = (-15.6453, 24.3464)
1591: (x,y) = (-15.7151, 22.3477)
1592: (x,y) = (-14.5114, 23.9449)
1593: (x,y) = (-16.0874, 25.1763)
1594: (x,y) = (-17.5502, 23.8123)
1595: (x,y) = (-19.3477, 22.9355)
1596: (x,y) = (-21.2499, 23.5536)
1597: (x,y) = (-19.9116, 22.0673)
1598: (x,y) = (-21.9006, 22.2763)
1599: (x,y) = (-22.6821, 20.4353)
1600: (x,y) = (-24.4142, 19.4353)
1601: (x,y) = (-26.2117, 20.3121)
1602: (x,y) = (-24.2485, 19.9304)
1603: (x,y) = (-26.171, 19.3792)
1604: (x,y) = (-27.8093, 18.232)
1605: (x,y) = (-25.8868, 17.6807)
1606: (x,y) = (-24.7684, 19.3388)
1607: (x,y) = (-25.6451, 17.5412)
1608: (x,y) = (-27.1314, 16.203)
1609: (x,y) = (-27.6491, 18.1348)
1610: (x,y) = (-29.3634, 17.1047)
1611: (x,y) = (-31.1905, 17.9182)
1612: (x,y) = (-29.6811, 19.2303)
1613: (x,y) = (-31.6783, 19.1257)
1614: (x,y) = (-32.5863, 20.9077)
1615: (x,y) = (-32.691, 18.9104)
1616: (x,y) = (-30.8238, 19.6271)
1617: (x,y) = (-29.2478, 18.3958)
1618: (x,y) = (-27.3568, 17.7447)
1619: (x,y) = (-29.2362, 17.0606)
1620: (x,y) = (-27.5401, 16.0008)
1621: (x,y) = (-28.5097, 17.75)
1622: (x,y) = (-26.6303, 17.066)
1623: (x,y) = (-24.7631, 17.7827)
1624: (x,y) = (-26.1271, 19.2455)
1625: (x,y) = (-27.9542, 18.432)
1626: (x,y) = (-29.2925, 16.9457)
1627: (x,y) = (-28.4472, 15.1331)
1628: (x,y) = (-26.6814, 16.072)
1629: (x,y) = (-25.1951, 17.4103)
1630: (x,y) = (-27.1938, 17.3405)
1631: (x,y) = (-27.8779, 19.2199)
1632: (x,y) = (-29.8004, 18.6686)
1633: (x,y) = (-28.3377, 20.0326)
1634: (x,y) = (-27.1621, 18.4146)
1635: (x,y) = (-25.9035, 19.9688)
1636: (x,y) = (-26.2508, 17.9992)
1637: (x,y) = (-27.3979, 16.3609)
1638: (x,y) = (-29.3467, 16.8108)
1639: (x,y) = (-27.3576, 16.6018)
1640: (x,y) = (-29.0537, 15.5419)
1641: (x,y) = (-29.7378, 13.6625)
1642: (x,y) = (-31.4698, 14.6625)
1643: (x,y) = (-32.0546, 12.7499)
1644: (x,y) = (-31.4698, 14.6625)
1645: (x,y) = (-32.9792, 15.9747)
1646: (x,y) = (-34.8586, 16.6587)
1647: (x,y) = (-34.9981, 18.6538)
1648: (x,y) = (-33.2161, 17.7459)
1649: (x,y) = (-31.2674, 18.1958)
1650: (x,y) = (-30.4539, 16.3687)
1651: (x,y) = (-29.3941, 14.6726)
1652: (x,y) = (-27.3989, 14.8121)
1653: (x,y) = (-27.2246, 12.8197)
1654: (x,y) = (-25.6274, 11.6161)
1655: (x,y) = (-27.1137, 12.9543)
1656: (x,y) = (-25.1383, 12.6415)
1657: (x,y) = (-27.1015, 12.2598)
1658: (x,y) = (-26.5168, 14.1724)
1659: (x,y) = (-27.1679, 12.2814)
1660: (x,y) = (-27.6856, 14.2133)
1661: (x,y) = (-28.9169, 15.7893)
1662: (x,y) = (-26.9172, 15.8242)
1663: (x,y) = (-28.9023, 16.0679)
1664: (x,y) = (-27.4396, 17.4319)
1665: (x,y) = (-29.4393, 17.4668)
1666: (x,y) = (-29.683, 19.4519)
1667: (x,y) = (-31.6754, 19.6262)
1668: (x,y) = (-30.4998, 21.2443)
1669: (x,y) = (-30.7089, 19.2552)
1670: (x,y) = (-32.6721, 19.6368)
1671: (x,y) = (-32.8117, 17.6417)
1672: (x,y) = (-31.0296, 18.5497)
1673: (x,y) = (-32.9859, 18.1339)
1674: (x,y) = (-31.2716, 19.1639)
1675: (x,y) = (-31.6189, 21.1336)
1676: (x,y) = (-29.8697, 20.1639)
1677: (x,y) = (-28.9617, 21.946)
1678: (x,y) = (-28.1802, 23.787)
1679: (x,y) = (-30.1775, 23.8916)
1680: (x,y) = (-29.6936, 25.8322)
1681: (x,y) = (-30.8973, 24.235)
1682: (x,y) = (-31.8669, 25.9842)
1683: (x,y) = (-31.554, 27.9596)
1684: (x,y) = (-29.6746, 28.6436)
1685: (x,y) = (-28.2853, 27.2049)
1686: (x,y) = (-28.3202, 29.2046)
1687: (x,y) = (-26.357, 29.5862)
1688: (x,y) = (-24.4548, 30.2043)
1689: (x,y) = (-22.8368, 31.3798)
1690: (x,y) = (-24.2261, 32.8185)
1691: (x,y) = (-25.3154, 34.4959)
1692: (x,y) = (-27.2379, 35.0471)
1693: (x,y) = (-25.2528, 35.2909)
1694: (x,y) = (-24.3449, 33.5089)
1695: (x,y) = (-23.9976, 35.4785)
1696: (x,y) = (-25.9827, 35.2347)
1697: (x,y) = (-24.3246, 36.3531)
1698: (x,y) = (-24.8422, 34.4213)
1699: (x,y) = (-25.6237, 36.2623)
1700: (x,y) = (-27.5933, 36.6096)
1701: (x,y) = (-26.6853, 34.8276)
1702: (x,y) = (-27.3033, 32.9255)
1703: (x,y) = (-26.5866, 34.7926)
1704: (x,y) = (-27.8453, 36.3469)
1705: (x,y) = (-27.3953, 34.3982)
1706: (x,y) = (-29.365, 34.7455)
1707: (x,y) = (-27.5991, 33.8065)
1708: (x,y) = (-25.6503, 33.3566)
1709: (x,y) = (-26.3015, 35.2477)
1710: (x,y) = (-28.0158, 36.2777)
1711: (x,y) = (-27.1706, 34.4651)
1712: (x,y) = (-25.2685, 33.8471)
1713: (x,y) = (-26.8005, 35.1327)
1714: (x,y) = (-27.5498, 33.2783)
1715: (x,y) = (-25.5525, 33.383)
1716: (x,y) = (-25.7268, 35.3754)
1717: (x,y) = (-23.8596, 34.6586)
1718: (x,y) = (-24.6731, 32.8315)
1719: (x,y) = (-22.7413, 32.3139)
1720: (x,y) = (-20.8187, 32.8652)
1721: (x,y) = (-21.4035, 30.9526)
1722: (x,y) = (-19.5241, 30.2685)
1723: (x,y) = (-18.2928, 31.8445)
1724: (x,y) = (-18.6401, 29.8749)
1725: (x,y) = (-18.3963, 27.8898)
1726: (x,y) = (-16.4012, 28.0293)
1727: (x,y) = (-16.2965, 30.0266)
1728: (x,y) = (-18.2938, 29.9219)
1729: (x,y) = (-18.6411, 27.9523)
1730: (x,y) = (-20.5083, 27.2356)
1731: (x,y) = (-21.8976, 25.7969)
1732: (x,y) = (-23.8102, 25.2122)
1733: (x,y) = (-22.1719, 24.065)
1734: (x,y) = (-24.1206, 24.5149)
1735: (x,y) = (-26.0227, 23.8969)
1736: (x,y) = (-26.7719, 22.0425)
1737: (x,y) = (-28.5212, 21.0729)
1738: (x,y) = (-30.4908, 21.4202)
1739: (x,y) = (-31.0755, 23.3328)
1740: (x,y) = (-29.5892, 21.9945)
1741: (x,y) = (-28.0572, 20.709)
1742: (x,y) = (-26.5945, 22.0729)
1743: (x,y) = (-25.5644, 20.3586)
1744: (x,y) = (-25.9117, 22.3282)
1745: (x,y) = (-27.8243, 22.913)
1746: (x,y) = (-29.8194, 23.0525)
1747: (x,y) = (-29.0379, 24.8935)
1748: (x,y) = (-30.6352, 26.0971)
1749: (x,y) = (-29.6963, 27.863)
1750: (x,y) = (-28.465, 29.439)
1751: (x,y) = (-26.7506, 30.4691)
1752: (x,y) = (-25.3364, 29.0549)
1753: (x,y) = (-23.6591, 30.1442)
1754: (x,y) = (-23.4153, 32.1293)
1755: (x,y) = (-23.3455, 34.1281)
1756: (x,y) = (-25.3443, 34.0583)
1757: (x,y) = (-25.2745, 36.057)
1758: (x,y) = (-27.2669, 36.2314)
1759: (x,y) = (-28.3267, 34.5353)
1760: (x,y) = (-29.8588, 33.2497)
1761: (x,y) = (-30.608, 31.3953)
1762: (x,y) = (-28.7809, 30.5818)
1763: (x,y) = (-28.1298, 28.6908)
1764: (x,y) = (-29.8072, 27.6015)
1765: (x,y) = (-31.4044, 28.8052)
1766: (x,y) = (-32.6081, 30.4024)
1767: (x,y) = (-30.8105, 29.5257)
1768: (x,y) = (-28.8254, 29.2819)
1769: (x,y) = (-27.9174, 27.4999)
1770: (x,y) = (-27.6045, 29.4753)
1771: (x,y) = (-29.6018, 29.3706)
1772: (x,y) = (-30.8604, 30.9249)
1773: (x,y) = (-28.8653, 30.7854)
1774: (x,y) = (-29.9837, 32.4435)
1775: (x,y) = (-30.3995, 34.3998)
1776: (x,y) = (-32.2789, 35.0838)
1777: (x,y) = (-34.2594, 35.3622)
1778: (x,y) = (-36.2227, 35.7438)
1779: (x,y) = (-38.2151, 35.9181)
1780: (x,y) = (-38.7998, 37.8307)
1781: (x,y) = (-38.9393, 39.8258)
1782: (x,y) = (-40.7369, 38.9491)
1783: (x,y) = (-39.9234, 37.122)
1784: (x,y) = (-37.9237, 37.0871)
1785: (x,y) = (-39.8148, 37.7382)
1786: (x,y) = (-37.9604, 38.4875)
1787: (x,y) = (-36.7568, 40.0847)
1788: (x,y) = (-37.7869, 41.7991)
1789: (x,y) = (-39.689, 41.181)
1790: (x,y) = (-38.9722, 39.3139)
1791: (x,y) = (-40.6496, 38.2246)
1792: (x,y) = (-39.1633, 36.8863)
1793: (x,y) = (-40.6727, 38.1984)
1794: (x,y) = (-42.2487, 39.4298)
1795: (x,y) = (-40.8101, 40.8191)
1796: (x,y) = (-42.6227, 41.6643)
1797: (x,y) = (-44.177, 42.923)
1798: (x,y) = (-44.861, 41.0436)
1799: (x,y) = (-42.9816, 41.7276)
1800: (x,y) = (-41.6695, 40.2182)
1801: (x,y) = (-43.5105, 39.4367)
1802: (x,y) = (-45.3515, 38.6553)
1803: (x,y) = (-45.0042, 40.6249)
1804: (x,y) = (-46.8836, 39.9408)
1805: (x,y) = (-48.763, 39.2568)
1806: (x,y) = (-50.7618, 39.187)
1807: (x,y) = (-51.9931, 37.611)
1808: (x,y) = (-50.0368, 38.0268)
1809: (x,y) = (-51.4755, 36.6375)
1810: (x,y) = (-50.1115, 38.1002)
1811: (x,y) = (-51.0811, 39.8494)
1812: (x,y) = (-49.5948, 38.5112)
1813: (x,y) = (-50.742, 40.1495)
1814: (x,y) = (-49.5664, 41.7675)
1815: (x,y) = (-48.1037, 40.4035)
1816: (x,y) = (-49.9581, 41.1527)
1817: (x,y) = (-49.4742, 43.0933)
1818: (x,y) = (-47.5046, 43.4406)
1819: (x,y) = (-47.1573, 41.471)
1820: (x,y) = (-48.8154, 42.5894)
1821: (x,y) = (-50.8044, 42.7984)
1822: (x,y) = (-52.1684, 44.2612)
1823: (x,y) = (-50.3274, 43.4797)
1824: (x,y) = (-52.3198, 43.3054)
1825: (x,y) = (-54.0159, 44.3652)
1826: (x,y) = (-52.1487, 45.082)
1827: (x,y) = (-50.2693, 44.3979)
1828: (x,y) = (-49.6182, 42.5069)
1829: (x,y) = (-51.2155, 43.7105)
1830: (x,y) = (-49.2155, 43.7105)
1831: (x,y) = (-49.9647, 45.5649)
1832: (x,y) = (-48.0241, 45.081)
1833: (x,y) = (-49.8512, 44.2676)
1834: (x,y) = (-51.7999, 43.8177)
1835: (x,y) = (-50.7401, 45.5137)
1836: (x,y) = (-50.531, 43.5247)
1837: (x,y) = (-51.3125, 41.6837)
1838: (x,y) = (-50.6285, 39.8043)
1839: (x,y) = (-50.0104, 37.9022)
1840: (x,y) = (-50.7272, 39.7694)
1841: (x,y) = (-52.4764, 38.7997)
1842: (x,y) = (-51.1381, 40.286)
1843: (x,y) = (-50.1081, 38.5717)
1844: (x,y) = (-51.9056, 37.695)
1845: (x,y) = (-50.1081, 36.8182)
1846: (x,y) = (-50.5239, 34.8619)
1847: (x,y) = (-48.5315, 35.0362)
1848: (x,y) = (-47.2459, 36.5683)
1849: (x,y) = (-48.8002, 37.827)
1850: (x,y) = (-48.2826, 35.8951)
1851: (x,y) = (-47.5658, 37.7623)
1852: (x,y) = (-49.5509, 37.5185)
1853: (x,y) = (-48.8669, 35.6391)
1854: (x,y) = (-47.4776, 37.0778)
1855: (x,y) = (-45.5213, 37.4936)
1856: (x,y) = (-45.1055, 39.4499)
1857: (x,y) = (-44.1358, 37.7007)
1858: (x,y) = (-45.55, 36.2865)
1859: (x,y) = (-46.55, 34.5544)
1860: (x,y) = (-46.2717, 36.535)
1861: (x,y) = (-46.5154, 38.5201)
1862: (x,y) = (-44.5349, 38.2417)
1863: (x,y) = (-43.7857, 40.0961)
1864: (x,y) = (-42.7556, 38.3818)
1865: (x,y) = (-41.6663, 40.0591)
1866: (x,y) = (-42.87, 41.6564)
1867: (x,y) = (-42.8351, 43.6561)
1868: (x,y) = (-44.8323, 43.7607)
1869: (x,y) = (-44.1812, 41.8697)
1870: (x,y) = (-42.2791, 42.4877)
1871: (x,y) = (-41.661, 40.5856)
1872: (x,y) = (-43.1705, 41.8977)
1873: (x,y) = (-42.2315, 40.1318)
1874: (x,y) = (-43.5171, 38.5997)
1875: (x,y) = (-41.5852, 38.0821)
1876: (x,y) = (-41.5154, 36.0833)
1877: (x,y) = (-39.5154, 36.0833)
1878: (x,y) = (-41.0017, 34.7451)
1879: (x,y) = (-42.9423, 34.2612)
1880: (x,y) = (-40.9936, 34.7111)
1881: (x,y) = (-42.6709, 35.8004)
1882: (x,y) = (-42.9147, 33.8153)
1883: (x,y) = (-44.794, 33.1313)
1884: (x,y) = (-43.5085, 31.5992)
1885: (x,y) = (-45.5082, 31.5643)
1886: (x,y) = (-45.3339, 33.5567)
1887: (x,y) = (-43.568, 34.4956)
1888: (x,y) = (-44.568, 36.2277)
1889: (x,y) = (-43.2824, 34.6956)
1890: (x,y) = (-44.8145, 35.9811)
1891: (x,y) = (-44.2632, 37.9037)
1892: (x,y) = (-42.8992, 39.3664)
1893: (x,y) = (-40.9068, 39.5407)
1894: (x,y) = (-42.5041, 40.7443)
1895: (x,y) = (-44.0135, 39.4322)
1896: (x,y) = (-43.2, 37.6051)
1897: (x,y) = (-44.7761, 38.8364)
1898: (x,y) = (-43.4905, 37.3043)
1899: (x,y) = (-44.2072, 39.1715)
1900: (x,y) = (-43.1179, 37.4942)
1901: (x,y) = (-44.9973, 36.8101)
1902: (x,y) = (-43.4652, 38.0957)
1903: (x,y) = (-42.0759, 36.657)
1904: (x,y) = (-43.5622, 37.9953)
1905: (x,y) = (-45.1382, 39.2266)
1906: (x,y) = (-47.1188, 39.505)
1907: (x,y) = (-45.8332, 41.037)
1908: (x,y) = (-47.4092, 42.2684)
1909: (x,y) = (-45.7511, 43.3867)
1910: (x,y) = (-46.5964, 41.5741)
1911: (x,y) = (-44.8305, 42.5131)
1912: (x,y) = (-43.6549, 44.1311)
1913: (x,y) = (-41.7755, 44.8151)
1914: (x,y) = (-43.1138, 43.3289)
1915: (x,y) = (-41.1186, 43.4684)
1916: (x,y) = (-42.973, 42.7192)
1917: (x,y) = (-44.9654, 42.5448)
1918: (x,y) = (-45.1745, 40.5558)
